id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
MERCH-W-LOVECANADA-XL_6393,"Love Canada T-Shirt for Women","size: XL",https://merchkart.com/wp-content/uploads/2019/10/love-canada-small.jpg,https://merchkart.com/product/love-canada-t-shirt-for-women/?attribute_pa_size=xl,"Clothing, T-shirts, Woman","MerchKart",30CAD,in stock,MERCH-W-LOVECANADA_6385,https://merchkart.com/shopping-cart/?add-to-cart=6385&variation_id=6393&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/10/love-canada-tshirt-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-LOVECANADA-S_6391,"Love Canada T-Shirt for Women","size: S",https://merchkart.com/wp-content/uploads/2019/10/love-canada-small.jpg,https://merchkart.com/product/love-canada-t-shirt-for-women/?attribute_pa_size=s,"Clothing, T-shirts, Woman","MerchKart",30CAD,in stock,MERCH-W-LOVECANADA_6385,https://merchkart.com/shopping-cart/?add-to-cart=6385&variation_id=6391&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/10/love-canada-tshirt-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-LOVECANADA-M_6389,"Love Canada T-Shirt for Women","size: M",https://merchkart.com/wp-content/uploads/2019/10/love-canada-small.jpg,https://merchkart.com/product/love-canada-t-shirt-for-women/?attribute_pa_size=m,"Clothing, T-shirts, Woman","MerchKart",30CAD,in stock,MERCH-W-LOVECANADA_6385,https://merchkart.com/shopping-cart/?add-to-cart=6385&variation_id=6389&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/10/love-canada-tshirt-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-W-LOVECANADA-L_6387,"Love Canada T-Shirt for Women","size: L",https://merchkart.com/wp-content/uploads/2019/10/love-canada-small.jpg,https://merchkart.com/product/love-canada-t-shirt-for-women/?attribute_pa_size=l,"Clothing, T-shirts, Woman","MerchKart",30CAD,in stock,MERCH-W-LOVECANADA_6385,https://merchkart.com/shopping-cart/?add-to-cart=6385&variation_id=6387&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/10/love-canada-tshirt-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-COLORBIRD-XL_6302,"Colorful Bird Print T-Shirt for Women","size: XL",https://merchkart.com/wp-content/uploads/2019/10/bird-color-merchkart.jpg,https://merchkart.com/product/colorful-bird-print-t-shirt-for-women/?attribute_pa_size=xl,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-COLORBIRD_6295,https://merchkart.com/shopping-cart/?add-to-cart=6295&variation_id=6302&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/10/bird-women-merchkart.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-COLORBIRD-S_6300,"Colorful Bird Print T-Shirt for Women","size: S",https://merchkart.com/wp-content/uploads/2019/10/bird-color-merchkart.jpg,https://merchkart.com/product/colorful-bird-print-t-shirt-for-women/?attribute_pa_size=s,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-COLORBIRD_6295,https://merchkart.com/shopping-cart/?add-to-cart=6295&variation_id=6300&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/10/bird-women-merchkart.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-COLORBIRD-L_6296,"Colorful Bird Print T-Shirt for Women","size: L",https://merchkart.com/wp-content/uploads/2019/10/bird-color-merchkart.jpg,https://merchkart.com/product/colorful-bird-print-t-shirt-for-women/?attribute_pa_size=l,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-COLORBIRD_6295,https://merchkart.com/shopping-cart/?add-to-cart=6295&variation_id=6296&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/10/bird-women-merchkart.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-COLORBIRD-M_6298,"Colorful Bird Print T-Shirt for Women","size: M",https://merchkart.com/wp-content/uploads/2019/10/bird-color-merchkart.jpg,https://merchkart.com/product/colorful-bird-print-t-shirt-for-women/?attribute_pa_size=m,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-COLORBIRD_6295,https://merchkart.com/shopping-cart/?add-to-cart=6295&variation_id=6298&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/10/bird-women-merchkart.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-M-CHILLBRO-XL_6095,"Chill Bro T Shirt Men","size: XL",https://merchkart.com/wp-content/uploads/2019/10/chill-bro-merchkart.jpg,https://merchkart.com/product/chill-bro-t-shirt-men/?attribute_pa_size=xl,"Clothing, Men, T-Shirt","MerchKart",30CAD,in stock,MERCH-M-CHILLBRO_6087,https://merchkart.com/shopping-cart/?add-to-cart=6087&variation_id=6095&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/10/chill-bro-tshirt-mock.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-M-CHILLBRO-M_6091,"Chill Bro T Shirt Men","size: M",https://merchkart.com/wp-content/uploads/2019/10/chill-bro-merchkart.jpg,https://merchkart.com/product/chill-bro-t-shirt-men/?attribute_pa_size=m,"Clothing, Men, T-Shirt","MerchKart",30CAD,in stock,MERCH-M-CHILLBRO_6087,https://merchkart.com/shopping-cart/?add-to-cart=6087&variation_id=6091&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/10/chill-bro-tshirt-mock.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-M-CHILLBRO-L_6089,"Chill Bro T Shirt Men","size: L",https://merchkart.com/wp-content/uploads/2019/10/chill-bro-merchkart.jpg,https://merchkart.com/product/chill-bro-t-shirt-men/?attribute_pa_size=l,"Clothing, Men, T-Shirt","MerchKart",30CAD,in stock,MERCH-M-CHILLBRO_6087,https://merchkart.com/shopping-cart/?add-to-cart=6087&variation_id=6089&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/10/chill-bro-tshirt-mock.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-M-CHILLBRO-S_6093,"Chill Bro T Shirt Men","size: S",https://merchkart.com/wp-content/uploads/2019/10/chill-bro-merchkart.jpg,https://merchkart.com/product/chill-bro-t-shirt-men/?attribute_pa_size=s,"Clothing, Men, T-Shirt","MerchKart",30CAD,in stock,MERCH-M-CHILLBRO_6087,https://merchkart.com/shopping-cart/?add-to-cart=6087&variation_id=6093&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/10/chill-bro-tshirt-mock.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-ANIME-XL_6028,"Anime T-Shirt for Girls","size: XL",https://merchkart.com/wp-content/uploads/2019/10/anime-merchkart-small.jpg,https://merchkart.com/product/anime-t-shirt-for-girls/?attribute_pa_size=xl,"Anime, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-ANIME_6020,https://merchkart.com/shopping-cart/?add-to-cart=6020&variation_id=6028&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/10/anime-girl-plain.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-ANIME-S_6026,"Anime T-Shirt for Girls","size: S",https://merchkart.com/wp-content/uploads/2019/10/anime-merchkart-small.jpg,https://merchkart.com/product/anime-t-shirt-for-girls/?attribute_pa_size=s,"Anime, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-ANIME_6020,https://merchkart.com/shopping-cart/?add-to-cart=6020&variation_id=6026&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/10/anime-girl-plain.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-ANIME-M_6024,"Anime T-Shirt for Girls","size: M",https://merchkart.com/wp-content/uploads/2019/10/anime-merchkart-small.jpg,https://merchkart.com/product/anime-t-shirt-for-girls/?attribute_pa_size=m,"Anime, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-ANIME_6020,https://merchkart.com/shopping-cart/?add-to-cart=6020&variation_id=6024&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/10/anime-girl-plain.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-W-ANIME-L_6022,"Anime T-Shirt for Girls","size: L",https://merchkart.com/wp-content/uploads/2019/10/anime-merchkart-small.jpg,https://merchkart.com/product/anime-t-shirt-for-girls/?attribute_pa_size=l,"Anime, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-ANIME_6020,https://merchkart.com/shopping-cart/?add-to-cart=6020&variation_id=6022&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/10/anime-girl-plain.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-IPHONECASE-SKULL_5971,"iPhone X/XS Mobile Skull Case","Cool iPhone X/XS case.",https://merchkart.com/wp-content/uploads/2019/10/iphoneX-XS-main-small.jpg,https://merchkart.com/product/iphone-x-xs-mobile-skull-case/,"Accessories, iPhone, Phone Cases, X/XS","MerchKart",30CAD,in stock,MERCH-IPHONECASE-SKULL_5971,https://merchkart.com/shopping-cart/?add-to-cart=5971,"https://merchkart.com/wp-content/uploads/2019/10/iPhone-X_XS-merchkart-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,26CAD,new,published,,
MERCH-M-BATEMBLEM-S_5936,"Batman emblem T-Shirt for Men","size: S",https://merchkart.com/wp-content/uploads/2019/09/batman-merch-small.jpg,https://merchkart.com/product/batman-emblem-t-shirt-for-men/?attribute_pa_size=s,"Men, SuperHero, T-Shirt","MerchKart",29CAD,in stock,MERCH-M-BATEMBLEM_5930,https://merchkart.com/shopping-cart/?add-to-cart=5930&variation_id=5936&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/09/batman-tshirt-merhckart-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
MERCH-M-BATEMBLEM-M_5934,"Batman emblem T-Shirt for Men","size: M",https://merchkart.com/wp-content/uploads/2019/09/batman-merch-small.jpg,https://merchkart.com/product/batman-emblem-t-shirt-for-men/?attribute_pa_size=m,"Men, SuperHero, T-Shirt","MerchKart",29CAD,in stock,MERCH-M-BATEMBLEM_5930,https://merchkart.com/shopping-cart/?add-to-cart=5930&variation_id=5934&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/09/batman-tshirt-merhckart-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-M-BATEMBLEM-XL_5938,"Batman emblem T-Shirt for Men","size: XL",https://merchkart.com/wp-content/uploads/2019/09/batman-merch-small.jpg,https://merchkart.com/product/batman-emblem-t-shirt-for-men/?attribute_pa_size=xl,"Men, SuperHero, T-Shirt","MerchKart",29CAD,in stock,MERCH-M-BATEMBLEM_5930,https://merchkart.com/shopping-cart/?add-to-cart=5930&variation_id=5938&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/09/batman-tshirt-merhckart-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-M-BATEMBLE-L_5932,"Batman emblem T-Shirt for Men","size: L",https://merchkart.com/wp-content/uploads/2019/09/batman-merch-small.jpg,https://merchkart.com/product/batman-emblem-t-shirt-for-men/?attribute_pa_size=l,"Men, SuperHero, T-Shirt","MerchKart",29CAD,in stock,MERCH-M-BATEMBLEM_5930,https://merchkart.com/shopping-cart/?add-to-cart=5930&variation_id=5932&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/09/batman-tshirt-merhckart-small.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-BAGTOTE-LOVECANADA_5896,"Love Canada Tote Bag","The specialized double printed bag. Made from soft and supple neoprene fabric, adjustable strap and metal hardware.",https://merchkart.com/wp-content/uploads/2019/09/tote-bag-mockup-of-a-woman-with-headphones-in-the-city-29453.jpg,https://merchkart.com/product/love-canada-tote-bag/,"Accessories, Bags, Tote","MerchKart",35CAD,in stock,MERCH-BAGTOTE-LOVECANADA_5896,https://merchkart.com/shopping-cart/?add-to-cart=5896,"https://merchkart.com/wp-content/uploads/2019/09/tote-bag.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,28CAD,new,published,,
MERCH-M-CAPTAIN-XL_5847,"Captain America T-Shirt","Extra Large",https://merchkart.com/wp-content/uploads/2019/07/preview-shirt-bellacanvas-3001-2765669-scene-01.png,https://merchkart.com/product/captain-america-t-shirt/?attribute_pa_size=xl,"Clothing, Men, SuperHero, T-Shirt","MerchKart",28CAD,in stock,MERCH-M-CAPTAIN_3853,https://merchkart.com/shopping-cart/?add-to-cart=3853&variation_id=5847&attribute_pa_size=xl,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-M-CAPTAIN-S_5845,"Captain America T-Shirt","Small",https://merchkart.com/wp-content/uploads/2019/07/preview-shirt-bellacanvas-3001-2765669-scene-01.png,https://merchkart.com/product/captain-america-t-shirt/?attribute_pa_size=s,"Clothing, Men, SuperHero, T-Shirt","MerchKart",28CAD,in stock,MERCH-M-CAPTAIN_3853,https://merchkart.com/shopping-cart/?add-to-cart=3853&variation_id=5845&attribute_pa_size=s,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
